,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
5058,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Very concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",4.0
5059,26-30,Female,High school graduate with diploma,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",2.0
5060,31-40,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",4.0
5061,31-40,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",3.0
5062,31-40,Female,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",4.0
5063,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Very concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",1.0
5064,26-30,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",5.0
5065,51-60,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",1.0
5066,41-50,Female,Master's degree,Out of work but not currently looking for work,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",2.0
5067,41-50,Female,Master's degree,Employee,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Very concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",3.0
5068,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," She wants you guys to stop shipping them romantically and in friendship as well, its not hard to understand. If you like them both, support them individually. She doesnt want to be associated with her anymore and you guys should respect and get over that dead ship already.",3.0
5069,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5070,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",4.0
5071,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",4.0
5072,31-40,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",2.0
5073,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5074,31-40,Male,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",2.0
5075,41-50,Male,Bachelor's degree,Self-employed,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Not at all concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",2.0
5076,41-50,Male,High school graduate with diploma,Employee,Agree,Agree,Disagree,Agree,Disagree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5077,41-50,Male,Associate degree,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Agree,A little concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",1.0
5078,31-40,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",4.0
5079,51-60,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5080,31-40,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5081,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5082,51-60,Male,Master's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",4.0
5083,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Strongly agree,Agree,A little concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",5.0
5084,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",2.0
5085,26-30,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",3.0
5086,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",4.0
5087,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",1.0
5088,26-30,Female,Master's degree,Employee,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Very concerned," welcome to DigiByte Coin Network Support Have you unlock your waIIet yet, to get your airdrop, fuel daily bonus and earnings If no, kindly visit the website click on reward to login and earning through wallet connect .",1.0
5089,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",4.0
5090,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",1.0
5091,18-25,Female,Master's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",2.0
5092,26-30,Female,High school graduate with diploma,Employee,Strongly agree,Agree,Agree,Agree,Agree,Very concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",3.0
5093,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",3.0
5094,31-40,Male,Master's degree,Employee,Agree,Agree,Agree,Agree,Disagree,Very concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",4.0
5095,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",4.0
5096,26-30,Male,"8th Up to 12th grade, no diploma",Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",5.0
5097,31-40,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",4.0
5098,26-30,Female,Master's degree,Self-employed,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",2.0
5099,26-30,Female,Master's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",3.0
5100,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Very concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",2.0
5101,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Very concerned," Was always a bit confused about which one of those names I should call you by. Guess this answers my question Either way, I support this change If you're happier with the name Jim, then I see no reason why you should keep the name you DON'T like around..",2.0
5102,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,3.0
5103,31-40,Male,Bachelor's degree,Employee,Strongly Disagree,Agree,Agree,Agree,Agree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,5.0
5104,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,5.0
5105,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly Disagree,Neither agree nor disagree,Agree,Very concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,3.0
5106,51-60,Male,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,3.0
5107,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Strongly agree,Very concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,5.0
5108,31-40,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Very concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,4.0
5109,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,Somewhat concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,1.0
5110,51-60,Female,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,3.0
5111,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,4.0
5112,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,1.0
5113,51-60,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Agree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,4.0
5114,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,A little concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,1.0
5115,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned, You dont think private business has the right to do what they want with their employees You support the government intervention in private buisness Sounds like communism.,3.0
5116,18-25,Male,Associate degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Very concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",4.0
5117,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",4.0
5118,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Disagree,Very concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5119,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5120,18-25,Female,Bachelor's degree,Employee,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Not at all concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",1.0
5121,31-40,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5122,26-30,Female,Master's degree,Employee,Agree,Strongly agree,Disagree,Agree,Strongly agree,Very concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",1.0
5123,31-40,Male,Master's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5124,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5125,26-30,Female,Master's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",2.0
5126,31-40,Female,Bachelor's degree,A homemaker,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5127,51-60,Male,Bachelor's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",5.0
5128,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Very concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",3.0
5129,31-40,Female,Bachelor's degree,Employee,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Very concerned," It is really low of you to have said that, sir. Any Nigerian in trouble deserves the care and support of all Nigerians, irrespective of whether they have a dual citizenship or not. Let love lead..",4.0
5130,31-40,Male,"8th Up to 12th grade, no diploma",Self-employed,Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",1.0
5131,18-25,Female,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",1.0
5132,31-40,Female,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",4.0
5133,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",3.0
5134,26-30,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5135,51-60,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",5.0
5136,31-40,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",3.0
5137,31-40,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5138,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",4.0
5139,26-30,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5140,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",4.0
5141,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",3.0
5142,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5143,41-50,Male,Master's degree,Self-employed,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5144,51-60,Female,High school graduate with diploma,Employee,Agree,Agree,Neither agree nor disagree,Agree,Disagree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",3.0
5145,51-60,Female,Associate degree,Self-employed,Strongly agree,Agree,Disagree,Agree,Agree,Very concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",4.0
5146,26-30,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",2.0
5147,31-40,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Somewhat concerned," SAAAAAAAME the instant it was announced GAA got an official translation, I just HAD to buy it. The physical copy. Cuz I wanna support that.",3.0
5148,18-25,Female,Bachelor's degree,Employee,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,2.0
5149,41-50,Male,Master's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,4.0
5150,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,3.0
5151,18-25,Female,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,A little concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,2.0
5152,51-60,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,4.0
5153,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Agree,Agree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,2.0
5154,31-40,Female,Master's degree,A homemaker,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Very concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,1.0
5155,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,4.0
5156,31-40,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,4.0
5157,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,2.0
5158,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,4.0
5159,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Not at all concerned,SM would brag about an Ig live with fivedigit viewers but wouldn't bring up Taeyong's being the choreographer for a hit stage viewed by a global audience of 51 million. Taeyong is really strategic because sm won't support him and he has to promote himself. Respect to him.,1.0
5160,18-25,Male,High school graduate with diploma,Self-employed,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Very concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,2.0
5161,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,2.0
5162,26-30,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Very concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,1.0
5163,Above 60 years old,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,1.0
